user_being_followed_id,user_following_id
18,286
153,180
101,244
231,180
21,36
253,144
111,3
124,220
160,169
9,2
274,63
91,5
59,216
250,59
259,73
54,300
264,189
133,262
161,288
157,145
88,207
252,268
29,173
18,277
116,1
3,273
109,49
42,296
55,224
296,70
180,126
63,202
137,280
165,156
254,78
176,133
56,211
254,247
159,277
107,18
226,260
71,141
75,59
206,270
122,211
135,247
32,186
203,150
229,208
267,159
125,11
98,26
97,274
172,32
158,202
246,69
185,88
145,262
260,16
248,32
272,238
145,6
268,236
26,102
36,120
288,160
124,12
265,55
32,137
72,263
94,96
193,223
277,110
118,91
253,21
16,45
64,256
187,110
131,71
147,82
43,78
160,92
213,107
41,138
193,241
7,49
30,5
73,195
79,206
171,127
156,138
166,1
90,226
31,38
14,32
108,28
172,280
75,29
266,202
192,243
286,201
157,52
180,29
79,118
265,224
278,221
83,232
271,101
8,61
105,258
183,225
264,108
155,234
141,105
251,113
205,62
176,226
9,189
210,174
206,224
184,38
167,145
163,242
69,254
2,94
295,33
93,141
171,185
201,60
98,84
30,98
59,192
176,206
278,222
53,258
20,82
66,111
250,167
230,275
64,162
269,78
51,292
128,60
283,54
217,204
202,68
194,153
217,72
202,277
202,232
247,216
87,277
243,151
109,268
92,156
81,177
243,25
16,177
162,130
204,30
8,167
245,96
266,205
115,239
286,130
300,12
229,32
181,126
254,287
222,19
23,60
55,47
213,267
290,8
200,11
212,136
135,277
155,82
172,247
104,54
242,205
230,93
294,12
124,273
248,86
40,269
62,151
57,19
184,278
219,9
272,200
190,59
54,48
99,204
220,201
118,261
29,269
140,231
109,300
65,59
133,91
48,103
255,130
268,60
172,200
156,229
30,287
7,232
270,203
125,100
298,238
149,285
202,191
146,20
6,87
168,135
117,53
116,72
160,35
155,245
245,270
17,98
253,39
222,295
279,45
286,107
71,239
243,204
50,116
6,212
32,199
89,57
199,210
21,93
146,18
41,236
171,205
1,232
132,228
257,263
106,91
58,93
57,237
58,283
14,131
12,171
207,181
137,172
171,239
170,226
15,24
93,96
82,117
300,22
86,93
55,63
255,245
65,277
296,94
61,147
157,281
210,230
217,57
52,133
22,48
184,133
18,216
21,241
116,47
232,111
26,13
63,190
91,11
187,145
103,20
23,3
74,266
85,171
236,11
139,251
216,23
238,139
108,46
57,45
13,45
176,170
129,39
178,232
148,126
39,237
208,37
17,101
126,261
247,150
81,22
189,76
46,164
271,122
133,30
205,262
235,230
267,73
4,148
40,231
283,94
16,231
199,8
100,36
222,23
135,234
68,23
91,201
269,103
156,191
61,218
76,293
172,64
87,175
51,105
136,13
11,250
158,204
158,242
136,160
137,224
161,153
174,201
102,17
149,218
275,265
280,236
209,128
158,5
101,2
290,80
177,79
290,182
196,266
166,147
229,135
162,264
29,64
293,95
289,272
295,65
58,99
39,179
17,109
11,201
134,43
42,216
213,109
136,246
131,14
167,91
237,89
282,93
97,267
300,105
221,250
40,160
198,158
50,43
118,113
204,286
29,31
166,132
215,254
73,148
226,90
207,287
199,268
186,219
220,87
213,60
15,276
10,105
40,41
176,67
210,219
207,44
296,169
283,93
200,224
231,221
6,72
27,128
119,69
58,291
287,77
232,203
195,95
27,35
216,195
8,78
169,21
137,115
51,108
186,47
52,280
93,297
116,155
141,197
229,232
103,48
129,272
95,162
100,152
208,75
279,248
168,229
290,244
287,188
162,1
11,163
255,240
215,245
123,274
179,194
293,22
194,162
63,46
58,295
69,196
57,132
241,111
149,282
204,136
37,24
60,6
211,61
244,27
6,69
268,155
157,179
74,56
38,249
48,50
237,69
23,271
47,257
236,152
71,95
282,257
220,260
190,277
166,20
294,237
90,267
139,295
16,123
86,27
276,43
67,166
42,177
292,141
119,149
267,27
212,145
106,209
238,129
247,180
108,270
210,5
161,43
200,3
91,116
22,178
96,161
41,167
241,233
196,290
271,274
69,194
73,166
64,264
75,273
125,103
48,131
98,82
222,136
160,128
7,74
127,287
156,8
115,281
159,227
285,116
98,238
41,196
282,221
133,83
115,19
205,19
153,188
30,70
69,219
46,21
270,191
209,130
240,2
246,107
206,294
31,35
172,286
170,126
86,179
138,239
150,138
220,93
66,180
148,89
15,87
238,174
148,250
210,123
123,266
284,117
79,141
47,45
195,286
236,276
3,28
260,237
299,275
251,171
24,20
132,243
81,86
185,235
181,274
55,281
131,254
101,221
55,127
69,187
95,170
190,34
34,158
245,198
148,232
273,121
39,49
250,102
159,190
136,270
197,85
172,207
145,49
296,117
49,16
70,293
171,21
125,252
176,204
134,116
22,9
74,117
220,117
142,62
92,253
214,209
50,263
112,210
180,55
65,124
123,72
13,85
70,92
18,44
215,149
132,230
7,182
133,19
186,155
204,95
270,60
46,116
269,202
284,279
104,112
298,116
189,15
86,105
133,182
64,48
264,21
17,144
289,215
104,96
263,242
7,275
137,198
121,37
284,42
269,125
245,108
213,242
169,109
252,49
73,74
16,156
63,33
133,121
188,163
191,113
200,192
118,54
21,249
235,68
104,287
151,160
230,277
286,194
79,142
99,287
118,16
219,19
74,186
108,281
269,120
62,228
257,173
219,36
264,52
158,155
47,91
10,201
26,133
196,51
215,7
187,209
129,109
97,276
258,154
292,193
186,100
288,153
15,109
59,55
95,102
220,122
196,41
8,144
86,65
107,50
157,61
47,264
228,291
100,271
135,298
123,108
137,184
211,176
41,106
99,173
36,248
298,49
20,42
184,181
112,212
184,177
143,10
257,112
63,151
